[简单]
苹果, 椅子, 红色, 爸爸, 香蕉, 绿色, 电脑, 太阳, 西瓜, 手机, 快乐, 夏天
理想, 契约, 启蒙, 解放, 野心, 违约, 探索, 囚禁, 贪婪, 盟友, 发现, 逃避
满足, 叛徒, 发明, 面对, 嫉妒, 甚至, 此时, 这里, 羡慕, 如果, 彼刻, 那里
欣赏, 虽然, 曾经, 哪里, 鄙视, 但是, 永远, 到处, 尊重, 并且, 瞬间, 远方
侮辱, 或者, 刹那, 故乡, 崇拜, 因为, 永恒, 异国, 轻视, 所以, 暂时, 边界
骄傲, 尽管, 始终, 中心, 谦虚, 除非, 偶尔, 边缘, 全部, 本质, 巧合, 创造
部分, 现象, 注定, 毁灭, 没有, 原因, 意外, 维持, 剩余, 结果, 必然, 改变
整体, 动机, 命运, 进化, 碎片, 目的, 随机, 退化, 核心, 手段, 规律, 修复
外壳, 过程, 例外, 腐烂, 集合, 结局, 奇迹, 诞生, 元素, 后果, 灾难, 死亡
复制, 影响, 牺牲, 平衡, 模仿, 控制, 奉献, 极端, 伪造, 服从, 索取, 中庸
原创, 反抗, 交换, 偏差, 盗版, 操纵, 代价, 稳定, 正版, 引导, 回报, 动荡
样本, 追随, 免费, 秩序, 模型, 领导, 无价, 混乱, 镜像, 奴役, 廉价, 对称
替身, 解放, 珍贵, 畸形, 沉默, 遗忘, 完美, 复杂, 喧哗, 记忆, 缺陷, 单纯
倾听, 怀念, 完整, 成熟, 诉说, 忽略, 破碎, 幼稚, 沟通, 铭记, 优秀, 老练
误解, 模糊, 平庸, 笨拙, 争辩, 清晰, 独特, 深刻, 说服, 深刻, 普通, 浅显
命令, 肤浅, 稀有, 晦涩, 请求, 淡忘, 泛滥, 直白, 理智, 宽容, 犹豫, 模糊
情感, 纵容, 果断, 清晰, 本能, 严厉, 拖延, 具体, 冲动, 苛刻, 急躁, 抽象
逻辑, 原谅, 坚持, 宏大, 直觉, 报复, 放弃, 渺小, 分析, 仁慈, 徘徊, 确切
感受, 残忍, 前进, 含糊, 冷静, 友善, 后退, 明显, 狂热, 敌意, 停滞, 隐晦
平凡, 等待, 名誉, 借口, 伟大, 寻找, 地位, 理由, 卑微, 错过, 权力, 托词
崇高, 遇见, 财富, 真心, 荣耀, 离别, 阶级, 假意, 耻辱, 重逢, 特权, 敷衍
名声, 告别, 平等, 认真, 默默, 欢迎, 歧视, 玩笑, 显赫, 挽留, 公正, 严肃
无名, 驱逐, 偏袒, 伪装, 暴露, 危机, 荒谬, 象征, 隐藏, 转机, 合理, 隐喻
发现, 陷阱, 荒唐, 暗示, 秘密, 机遇, 正常, 直白, 侦探, 风险, 疯狂, 讽刺
线索, 保障, 理性, 赞美, 谜底, 挑战, 奇怪, 双关, 伪证, 舒适, 普通, 字面
铁证, 冒险, 异类, 潜台词, 保守, 同类, 弦外之音, 冷漠, 热情, 固执, 依赖, 消耗
温和, 灵活, 独立, 积累, 暴躁, 多变, 共生, 挥霍, 亲切, 坚定, 寄生, 节约
疏远, 顽固, 合作, 储存, 关心, 变通, 对抗, 释放, 无视, 适应, 融合, 枯竭
拥抱, 抵抗, 分裂, 充盈, 推开, 顺从, 团结, 匮乏, 叛逆, 孤立, 富余, 沉重
轻盈, 透明, 起点, 大概, 压抑, 浑浊, 终点, 也许, 释放, 纯净, 过程, 一定
负担, 混合, 转折, 可能, 轻松, 单一, 循环, 必须, 束缚, 多元, 直线, 未必
自由, 杂质, 曲线, 绝对, 窒息, 精华, 捷径, 相对, 呼吸, 过滤, 迷宫, 概率
沉淀, 坦途, 确信, 肯定, 否定, 包含, 上升, 主动, 怀疑, 排除, 下降, 被动
确认, 连接, 停滞, 拒绝, 拒绝, 断开, 波动, 接受, 同意, 融合, 增长, 进攻
犹豫, 分离, 衰退, 防守, 坚信, 附着, 高峰, 邀请, 动摇, 脱落, 低谷, 驱逐
盲从, 吸引, 膨胀, 给予, 排斥, 萎缩, 索要, 熟悉, 陌生, 有限, 算法, 外交
亲密, 无限, 模型, 联盟, 疏远, 边界, 神经网络, 制裁, 故人, 尽头, 量子计算, 战争
新友, 范围, 进化, 通货膨胀, 怀旧, 领域, 文明, 经济危机, 尝鲜, 禁区, 意识, 金融市场
习惯, 广阔, 哲学, 货币政策, 陌生, 狭窄, 纳米技术, 太空电梯, 无垠, 黑洞辐射, 引力波, 自由意志
形而上学, 二律背反, 存在主义, 复杂网络, 系统动力学, 非线性方程, 混沌理论, 生物多样性
生态循环, 碳中和, 可持续能源, 跨文化交流, 社会结构, 身份认同, 意识形态
